"Source:","/home/barnacle/Projects/Cisc-8/Old/cisc-8 new/cisc-8.sch"
"Date:","Fri 28 Jun 2019 20:37:52 BST"
"Tool:","Eeschema 5.1.2-f72e74a~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","311"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1902","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1903","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C1904","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C2101","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C2102","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C2103","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C2104","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C2105","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C2106","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C2107","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","C2108","100n","cisc-8-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","~"
"","","J2001","Conn_02x20_Odd_Even","Connector_Generic:Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical_SMD","~"
"","","U201","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"","","U202","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"","","U203","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"","","U204","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"","","U205","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"","","U206","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"","","U207","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"","","U208","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"","","U209","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"","","U210","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"","","U211","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"","","U212","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"","","U213","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"","","U214","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"","","U301","74HC138","cisc-8-rescue:74LS138-74xx","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS138"
"","","U302","74HC08","cisc-8-rescue:74LS08-74xx","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS08"
"","","U303","74HC08","cisc-8-rescue:74LS08-74xx","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS08"
"","","U304","74HC541","cisc-8-rescue:74HCT541-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT541"
"","","U305","74HC574","cisc-8-rescue:74HCT574-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT574"
"","","U306","74HC08","cisc-8-rescue:74LS08-74xx","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS08"
"","","U307","74HC32","cisc-8-rescue:74LS32-74xx","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS32"
"","","U308","74HC32","cisc-8-rescue:74LS32-74xx","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS32"
"","","U309","74HC238","cisc-8-rescue:74HC238-74xx_IEEE","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"","","U310","74HC32","cisc-8-rescue:74LS32-74xx","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS32"
"","","U311","74HC04","cisc-8-rescue:74HC04-74xx","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.nxp.com/documents/data_sheet/74HC_HCT04.pdf"
"","","U312","74HC541","cisc-8-rescue:74HCT541-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT541"
"","","U313","74HC4075","cisc-8-rescue:4075-4xxx_IEEE","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"","","U314","74HC86","cisc-8-rescue:74HC86-74xx","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HC86"
"","","U315","74HC541","cisc-8-rescue:74HCT541-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT541"
"","","U316","74HC541","cisc-8-rescue:74HCT541-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT541"
"","","U317","74HC86","cisc-8-rescue:74HC86-74xx","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HC86"
"","","U318","74HC4002","cisc-8-rescue:4002-4xxx","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf"
"","","U319","74HC283","cisc-8-rescue:74LS283-74xx","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS283"
"","","U320","74HC283","cisc-8-rescue:74LS283-74xx","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS283"
"","","U321","74HC541","cisc-8-rescue:74HCT541-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT541"
"","","U322","74HC541","cisc-8-rescue:74HCT541-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT541"
"","","U323","74HC541","cisc-8-rescue:74HCT541-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT541"
"","","U401","74HC74","cisc-8-rescue:74HC74-74xx","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","74xx/74hc_hct74.pdf"
"","","U402","74HC157","cisc-8-rescue:74LS157-74xx","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS157"
"","","U403","74HC541","cisc-8-rescue:74HCT541-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT541"
"","","U501","74HC163","cisc-8-rescue:74LS163-74xx","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS163"
"","","U502","74HC541","cisc-8-rescue:74HCT541-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT541"
"","","U503","74HC163","cisc-8-rescue:74LS163-74xx","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS163"
"","","U504","74HC541","cisc-8-rescue:74HCT541-74xx","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74HCT541"
